Gene symbol,v-score,q-value (BH-FDR-corrected p-value),"Maximum abundance (normalized counts, rounded)"
Aimp2, 1.314 ,0.075054,12
Pgls, 1.314 ,0.075054,10
B9d1, 1.314 ,0.075054,9
Chmp6, 1.314 ,0.075054,8
Aup1, 1.314 ,0.075054,11
Aldh2, 1.314 ,0.075054,14
Dnajc9, 1.314 ,0.075054,15
Tmed10, 1.313 ,0.075054,13
Sap30, 1.313 ,0.075054,10
Maf1, 1.313 ,0.075054,11
Drg1, 1.313 ,0.075054,17
Snd1, 1.312 ,0.075054,18
Acaa1a, 1.312 ,0.075054,12
Polr2j, 1.312 ,0.075054,16
Pes1, 1.312 ,0.075054,17
N4bp3, 1.312 ,0.075054,9
Gars, 1.312 ,0.075054,17
Ccz1, 1.312 ,0.075054,9
Tuba1c, 1.312 ,0.075054,37
Nfkbia, 1.312 ,0.075054,9
Nono, 1.312 ,0.075054,29
Mtch1, 1.312 ,0.075054,21
Ndufb8, 1.312 ,0.075054,16
Sec61b, 1.311 ,0.075054,17
Ppm1g, 1.311 ,0.075054,18
Mrps2, 1.311 ,0.075054,11
Gnai2, 1.311 ,0.075054,14
Zw10, 1.311 ,0.075054,9
Sfxn1, 1.311 ,0.075054,12
Atp9a, 1.310 ,0.075054,15
Ccdc93, 1.309 ,0.075054,22
2010107E04Rik, 1.309 ,0.075054,18
Rpp25, 1.309 ,0.075054,11
Cd99, 1.309 ,0.075054,10
Pfn1, 1.309 ,0.075054,10
Dcaf15, 1.309 ,0.075054,11
Dus2, 1.309 ,0.075054,18
Ezh2, 1.308 ,0.075054,13
Cnn3, 1.308 ,0.075054,22
Sumo1, 1.308 ,0.075054,15
Lsm10, 1.308 ,0.075054,9
Pa2g4, 1.308 ,0.075054,30
Tomm20, 1.308 ,0.075054,41
Tmem147, 1.308 ,0.075054,9
Tnk2, 1.308 ,0.075054,12
Nutf2, 1.308 ,0.075054,12
Ddx47, 1.307 ,0.075054,10
Gpatch4, 1.307 ,0.075054,16
Rrp12, 1.307 ,0.075054,11
Tma7, 1.307 ,0.075054,23
Cuta, 1.307 ,0.075054,11
Cox14, 1.307 ,0.075054,10
Mdh1, 1.307 ,0.075054,16
Tufm, 1.307 ,0.075054,16
Tomm5, 1.306 ,0.075054,11
Cog8, 1.306 ,0.075054,13
Mbd3, 1.306 ,0.075054,24
Uqcr11, 1.306 ,0.075054,21
Ap4m1, 1.306 ,0.075054,11
Rbpj, 1.306 ,0.075054,18
Nedd8, 1.306 ,0.075054,18
Gtsf1l, 1.305 ,0.075054,11
2500004C02Rik, 1.305 ,0.075054,21
Uqcrh, 1.305 ,0.075054,20
Myl9, 1.305 ,0.075054,14
Zfp771, 1.305 ,0.075054,8
Ifi30, 1.305 ,0.075054,10
Lsm4, 1.304 ,0.075054,19
Ywhab, 1.304 ,0.075054,20
Dnajb1, 1.304 ,0.075054,10
Polr2g, 1.304 ,0.075054,9
Oaz2, 1.304 ,0.075054,14
Pycrl, 1.304 ,0.075054,8
Dpy30, 1.304 ,0.075054,19
Parp1, 1.303 ,0.075054,16
Ugp2, 1.303 ,0.075054,12
Wdr5, 1.303 ,0.075054,17
Pold2, 1.303 ,0.075054,11
Ergic3, 1.303 ,0.075054,10
Rhoc, 1.303 ,0.075054,12
Bub1b, 1.303 ,0.075054,14
Pbk, 1.303 ,0.075054,20
Phgdh, 1.302 ,0.075054,11
Cnn2, 1.302 ,0.075054,12
Slc50a1, 1.302 ,0.075054,13
Ak4, 1.302 ,0.075054,15
Ndufb4, 1.302 ,0.075054,10
Ptrf, 1.302 ,0.075054,10
Scyl1, 1.302 ,0.075054,12
Cyth2, 1.302 ,0.075054,10
Xrcc5, 1.301 ,0.075054,14
Cox6a1, 1.301 ,0.075054,26
Zdhhc18, 1.301 ,0.075054,14
Bloc1s2, 1.301 ,0.075054,8
Mast2, 1.301 ,0.075054,10
1110038B12Rik, 1.301 ,0.075054,18
Aspscr1, 1.300 ,0.075054,15
Cops3, 1.300 ,0.075054,13
Nenf, 1.300 ,0.075054,11
Ndufs6, 1.299 ,0.075054,18
1190005I06Rik, 1.299 ,0.075054,6
Hsbp1, 1.299 ,0.075054,12
Tmed9, 1.299 ,0.075054,10
Gm3258, 1.299 ,0.075054,10
Rpl36al, 1.299 ,0.075054,43
Jam2, 1.299 ,0.075054,21
Eci2, 1.299 ,0.075054,10
Gm16062, 1.299 ,0.075054,14
Bola1, 1.299 ,0.075054,8
Mrpl20, 1.298 ,0.075054,15
Ube2q1, 1.298 ,0.075054,9
Csrp2, 1.298 ,0.075054,15
Map1lc3b, 1.298 ,0.075054,16
Hnrnph1, 1.298 ,0.075054,17
Ccdc12, 1.298 ,0.075054,8
Ddx1, 1.298 ,0.075054,13
Sar1b, 1.298 ,0.075054,8
Elp3, 1.298 ,0.075054,17
Mafg, 1.297 ,0.075054,12
Irf3, 1.297 ,0.075054,22
Coro1a, 1.297 ,0.075054,10
H1fx, 1.297 ,0.075054,8
Psma6, 1.297 ,0.075054,21
Stra13, 1.297 ,0.075054,13
N6amt2, 1.297 ,0.075054,10
Dus1l, 1.297 ,0.075054,11
Smarcb1, 1.296 ,0.075054,13
Tax1bp1, 1.296 ,0.075054,12
Mtdh, 1.296 ,0.075054,21
Rlim, 1.296 ,0.075054,23
S100a11, 1.296 ,0.075054,8
Gde1, 1.295 ,0.075054,8
Plrg1, 1.295 ,0.075054,10
Gabarap, 1.295 ,0.075054,12
Ilk, 1.295 ,0.075054,8
Fads1, 1.294 ,0.075054,12
Dnajc21, 1.294 ,0.075054,10
Tpst2, 1.294 ,0.075054,10
Lamtor4, 1.294 ,0.075054,13
Skp1a, 1.294 ,0.075054,19
Msn, 1.294 ,0.075054,17
Grhpr, 1.294 ,0.075054,9
Rsl1d1, 1.293 ,0.075054,17
Nrp, 1.293 ,0.075054,8
Psmc2, 1.293 ,0.075054,15
Me1, 1.293 ,0.075054,12
Mrps35, 1.293 ,0.075054,7
Gsta4, 1.292 ,0.075054,18
Ap1s1, 1.292 ,0.075054,13
Zdhhc4, 1.292 ,0.075054,8
Phf10, 1.292 ,0.075054,9
Tfpi, 1.292 ,0.075054,21
Fdx1, 1.292 ,0.075054,10
Ccng1, 1.292 ,0.075054,12
Rab2a, 1.291 ,0.075054,11
Bax, 1.291 ,0.075054,27
Ecsit, 1.291 ,0.075054,10
Mrps30, 1.290 ,0.075054,10
Etv5, 1.290 ,0.075054,15
Ino80e, 1.290 ,0.075054,12
2810008D09Rik, 1.290 ,0.075054,5
Ubxn1, 1.290 ,0.075054,21
Hspa9, 1.290 ,0.075054,24
Nudt1, 1.289 ,0.075054,12
2700094K13Rik, 1.289 ,0.075054,18
Clstn1, 1.289 ,0.075054,10
Psmd12, 1.289 ,0.075054,14
Cmtm7, 1.289 ,0.075054,10
Kat2a, 1.289 ,0.075054,15
Phkg1, 1.289 ,0.075054,20
Arhgap8, 1.288 ,0.075054,12
Atp5k, 1.288 ,0.075054,31
Tdrp, 1.288 ,0.075054,12
Nutf2-ps1, 1.288 ,0.075054,16
Mrpl47, 1.288 ,0.075054,10
Pdia3, 1.288 ,0.075054,13
Iscu, 1.288 ,0.075054,12
Jmjd6, 1.288 ,0.075054,10
Ndufs1, 1.288 ,0.075054,17
Kif22, 1.287 ,0.075054,12
Scamp4, 1.287 ,0.075054,11
Drosha, 1.287 ,0.075054,12
Snrnp25, 1.287 ,0.075054,9
Rrp15, 1.287 ,0.075054,12
Ruvbl1, 1.287 ,0.075054,16
Clta, 1.287 ,0.075054,19
Pdlim1, 1.287 ,0.075054,11
Eras, 1.287 ,0.075054,9
Prdx4, 1.287 ,0.075054,11
Rab1b, 1.287 ,0.075054,13
Idh3g, 1.287 ,0.075054,10
Rcor2, 1.287 ,0.075054,14
1110008P14Rik, 1.287 ,0.075054,10
Csnk1e, 1.287 ,0.075054,24
Grcc10, 1.287 ,0.075054,10
Hras, 1.287 ,0.075054,15
Nudt21, 1.287 ,0.075054,11
Gjb3, 1.286 ,0.075054,8
Acaa2, 1.286 ,0.075054,11
Ppp2r2d, 1.286 ,0.075054,13
Nthl1, 1.286 ,0.075054,9
Chmp2a, 1.286 ,0.075054,11
Gatsl3, 1.286 ,0.075054,8
Erp29, 1.285 ,0.075054,14
Hsd17b10, 1.285 ,0.075054,10
Plaur, 1.285 ,0.075054,10
Capza1, 1.285 ,0.075054,15
Mtch2, 1.285 ,0.075054,10
Bcap31, 1.284 ,0.075054,12
Eed, 1.284 ,0.075054,15
Ccnb2, 1.284 ,0.075054,11
Ddit4, 1.284 ,0.075054,10
Vps4b, 1.284 ,0.075054,16
Apex1, 1.284 ,0.075054,11
Thap4, 1.284 ,0.075054,11
Imp4, 1.284 ,0.075054,12
Atp5g3, 1.284 ,0.075054,29
3110001I22Rik, 1.284 ,0.075054,17
Herpud1, 1.283 ,0.075054,8
Cirbp, 1.283 ,0.075054,9
Rrm2, 1.283 ,0.075054,14
Pef1, 1.283 ,0.075054,11
Ctps, 1.283 ,0.075054,13
Ly6e, 1.283 ,0.075054,13
Gldc, 1.283 ,0.075054,11
Gsr, 1.283 ,0.075054,12
Spcs2, 1.283 ,0.075054,15
Eif3b, 1.283 ,0.075054,34
Usp10, 1.283 ,0.075054,13
Rpa2, 1.283 ,0.075054,19
Mrpl55, 1.283 ,0.075054,13
Mrps15, 1.282 ,0.075054,13
Rab35, 1.282 ,0.075054,9
Ubc, 1.282 ,0.075054,16
0610007P14Rik, 1.282 ,0.075054,8
Cpsf3, 1.282 ,0.075054,11
Tceb1, 1.282 ,0.075054,13
Wnt7b, 1.282 ,0.075054,10
G3bp2, 1.282 ,0.075054,24
Ubqln4, 1.282 ,0.075054,13
Unc45a, 1.281 ,0.075054,9
Wdr61, 1.281 ,0.075054,9
Zfpl1, 1.281 ,0.075054,10
Nup62, 1.281 ,0.075054,17
Cox6c, 1.281 ,0.075054,16
Nars, 1.281 ,0.075054,12
Cipc, 1.281 ,0.075054,13
Psmd13, 1.281 ,0.075054,22
Slc25a3, 1.281 ,0.075054,28
Sin3b, 1.281 ,0.075054,12
Pde6d, 1.281 ,0.075054,12
Ndufaf2, 1.281 ,0.075054,11
Klf9, 1.280 ,0.075054,17
Znrd1, 1.280 ,0.075054,12
Cox6b1, 1.280 ,0.075054,13
Ece2, 1.280 ,0.075054,11
Sh3bgrl3, 1.280 ,0.075054,12
Icam1, 1.280 ,0.075054,9
Mageb16, 1.280 ,0.075054,11
Myo9b, 1.279 ,0.075054,12
Sra1, 1.279 ,0.075054,10
Ddx49, 1.279 ,0.075054,12
Ptms, 1.279 ,0.075054,15
Psmc4, 1.279 ,0.075054,18
Bsg, 1.279 ,0.075054,20
Ak1, 1.279 ,0.075054,16
Dohh, 1.279 ,0.075054,12
Wdr75, 1.279 ,0.075054,11
Snai3, 1.279 ,0.075054,8
Aen, 1.279 ,0.075054,13
Tbc1d10b, 1.279 ,0.075054,12
Riok2, 1.278 ,0.075054,12
Ier3ip1, 1.278 ,0.075054,17
Stau1, 1.278 ,0.075054,21
Tmem208, 1.278 ,0.075054,9
Arrb2, 1.278 ,0.075054,16
Aldh7a1, 1.277 ,0.07553,10
Eif6, 1.277 ,0.07553,15
Vmp1, 1.277 ,0.07553,10
Trpt1, 1.277 ,0.07553,11
Ddx21, 1.277 ,0.075698,17
Rps19bp1, 1.277 ,0.075698,12
Gdi2, 1.277 ,0.075698,18
Sephs2, 1.276 ,0.075698,15
Gbx2, 1.276 ,0.075698,7
Sdha, 1.276 ,0.075698,15
Nop2, 1.276 ,0.075698,12
H2afy, 1.275 ,0.075698,15
Pld3, 1.275 ,0.075698,13
Gss, 1.275 ,0.075698,11
Map7d2, 1.275 ,0.075698,16
Cox7a2, 1.275 ,0.075698,21
Med24, 1.275 ,0.075698,11
Ccrn4l, 1.275 ,0.075698,10
Stmn1-rs1, 1.275 ,0.075698,12
Mgea5, 1.274 ,0.075698,15
Bnip3l, 1.274 ,0.075698,16
Hyou1, 1.274 ,0.075698,13
Chrac1, 1.274 ,0.075698,8
Apol7a, 1.274 ,0.075698,13
Trp53, 1.274 ,0.075698,18
Adck5, 1.274 ,0.075698,8
Nid2, 1.274 ,0.075698,14
Zfp451, 1.273 ,0.075698,14
Tnip1, 1.273 ,0.075698,10
Mgat4b, 1.273 ,0.075698,10
Snrpd2, 1.273 ,0.075698,30
Timm13, 1.273 ,0.075698,18
Fbxo15, 1.273 ,0.075698,12
Syngr2, 1.273 ,0.075698,10
Cox7b, 1.273 ,0.075698,24
Atp6v1e1, 1.273 ,0.075698,10
Card10, 1.273 ,0.075698,8
Mpzl1, 1.273 ,0.075698,11
Slc29a4, 1.272 ,0.075698,7
Mfsd11, 1.272 ,0.075698,22
Mrps9, 1.272 ,0.075698,12
Ipo4, 1.272 ,0.075698,11
6430706D22Rik, 1.272 ,0.075698,11
Ppp1r14b, 1.271 ,0.075698,14
Msh2, 1.271 ,0.075698,20
Acta1, 1.271 ,0.075698,14
Sec23b, 1.271 ,0.075698,10
Ninj1, 1.271 ,0.075698,8
Gps1, 1.270 ,0.075698,13
Cryz, 1.270 ,0.075698,10
Eif3m, 1.270 ,0.075698,14
F3, 1.270 ,0.075698,16
Mrpl2, 1.270 ,0.075698,9
Lta4h, 1.270 ,0.075698,16
Cnpy2, 1.270 ,0.075698,12
Nsmce1, 1.270 ,0.075698,11
Rfc5, 1.270 ,0.075698,14
Tomm22, 1.270 ,0.075698,22
Ssrp1, 1.269 ,0.075698,20
Psmd4, 1.269 ,0.075698,21
Timm50, 1.269 ,0.075698,7
Elovl6, 1.269 ,0.075698,15
Snhg1, 1.269 ,0.075698,13
Polr1c, 1.269 ,0.075698,12
Zmynd19, 1.269 ,0.075698,11
Lphn1, 1.269 ,0.075698,21
Atp1b1, 1.269 ,0.075698,12
Ssbp1, 1.268 ,0.075698,18
Dusp12, 1.268 ,0.075698,11
Spr, 1.268 ,0.075698,13
Cir1, 1.268 ,0.075698,15
Ywhah, 1.268 ,0.075698,13
Cap1, 1.268 ,0.075698,14
Dcakd, 1.268 ,0.075698,10
Pabpc4, 1.268 ,0.075698,16
Gak, 1.268 ,0.075698,13
Mpdu1, 1.267 ,0.075698,15
Pomp, 1.267 ,0.075698,20
Idh1, 1.267 ,0.075698,13
Poldip2, 1.267 ,0.075698,12
Rpusd1, 1.267 ,0.075698,10
Agl, 1.267 ,0.075698,43
Sept1, 1.267 ,0.075698,8
Lsm7, 1.267 ,0.075698,13
Nubp2, 1.267 ,0.075698,8
Atp5l, 1.267 ,0.075698,20
Fxr1, 1.267 ,0.075698,11
Pam16, 1.267 ,0.075698,15
Epcam, 1.267 ,0.075698,13
Edf1, 1.267 ,0.075698,19
Parl, 1.267 ,0.075698,10
Rpn1, 1.266 ,0.075698,14
Gcat, 1.266 ,0.075698,13
Slc9a3r1, 1.266 ,0.075698,11
Sf3b3, 1.266 ,0.075698,18
Gon4l, 1.266 ,0.075698,14
Uba2, 1.266 ,0.075698,14
Stoml1, 1.266 ,0.075698,12
Sod2, 1.266 ,0.075698,11
Rangrf, 1.265 ,0.075698,13
Slc20a2, 1.265 ,0.075698,13
Usmg5, 1.265 ,0.075698,20
Gm561, 1.265 ,0.075698,9
Polr1d, 1.265 ,0.075698,19
Uhrf1, 1.265 ,0.075698,15
Atp6v1g1, 1.265 ,0.075698,13
Rps27l, 1.265 ,0.075698,29
Igf2, 1.265 ,0.075698,12
Phb2, 1.265 ,0.075698,19
Arpc2, 1.265 ,0.075698,14
Plvap, 1.265 ,0.075698,11
Cd81, 1.265 ,0.075698,15
Mapkapk2, 1.264 ,0.075698,11
Nme4, 1.264 ,0.075698,8
Lgals3, 1.264 ,0.075698,11
Lrrc14, 1.264 ,0.075698,11
Ccdc3, 1.264 ,0.075698,9
Bet1l, 1.264 ,0.075698,9
Hist1h1b, 1.264 ,0.075698,8
Hnrnph3, 1.264 ,0.075698,11
Tbc1d13, 1.264 ,0.075698,15
Lamtor2, 1.264 ,0.075698,15
Aph1a, 1.263 ,0.075698,14
Nme1, 1.263 ,0.075698,16
Hnrnpdl, 1.263 ,0.075698,16
Dynlrb1, 1.263 ,0.075698,10
Prmt7, 1.263 ,0.075698,13
Pwp2, 1.263 ,0.075698,12
Lamp1, 1.262 ,0.075698,24
Ndufa9, 1.262 ,0.075698,10
Zfp511, 1.262 ,0.075698,10
Rexo2, 1.262 ,0.075698,16
Nol7, 1.262 ,0.075698,13
Dlst, 1.262 ,0.075698,18
Atox1, 1.261 ,0.076367,20
Ccm2, 1.261 ,0.076367,11
Poli, 1.261 ,0.076367,13
Gtf2h4, 1.261 ,0.076367,12
Copz1, 1.260 ,0.076367,16
Ift43, 1.260 ,0.076367,10
Fsd1, 1.260 ,0.076367,8
Hdac1, 1.260 ,0.076367,14
Prss50, 1.260 ,0.076367,14
Arl6ip5, 1.260 ,0.076367,10
Cyb5r3, 1.260 ,0.076367,14
Myl6, 1.260 ,0.076367,32
Hs2st1, 1.259 ,0.077442,19
Nup85, 1.259 ,0.077442,15
Tfdp1, 1.259 ,0.077442,10
Rhebl1, 1.259 ,0.077442,13
Ndufb7, 1.259 ,0.077442,14
Ltv1, 1.259 ,0.077442,13
Mtfr1l, 1.259 ,0.077442,10
Tram1, 1.258 ,0.077442,9
Ssr4, 1.258 ,0.077442,9
Arl3, 1.258 ,0.077442,8
Snrpc, 1.258 ,0.077442,16
Park7, 1.258 ,0.077442,27
Eif4ebp3, 1.258 ,0.077442,8
Drap1, 1.258 ,0.077442,19
Rab33b, 1.258 ,0.077442,24
Flot1, 1.258 ,0.077442,9
Fntb, 1.258 ,0.077442,11
Wdr45b, 1.257 ,0.077442,11
Odf2, 1.257 ,0.077442,11
Slc10a1, 1.257 ,0.077442,17
Cenpt, 1.257 ,0.077442,11
Nrde2, 1.257 ,0.077442,14
Ndufab1, 1.257 ,0.077442,12
Gcsh, 1.257 ,0.077442,10
Msantd2, 1.257 ,0.077442,7
Haus4, 1.257 ,0.077442,9
Itm2b, 1.257 ,0.077442,14
Ict1, 1.256 ,0.077442,9
Ndufa3, 1.256 ,0.077442,11
Dnajc8, 1.256 ,0.077442,13
Akap8l, 1.256 ,0.077442,12
Dnajc19, 1.256 ,0.077442,18
1810022K09Rik, 1.256 ,0.077442,10
Smim11, 1.256 ,0.077442,8
Dhx30, 1.256 ,0.077442,10
Ccnd1, 1.256 ,0.077442,9
Mgl2, 1.256 ,0.077442,23
Atp6v1f, 1.256 ,0.077442,12
Rpl30, 1.255 ,0.077442,49
Ubap2, 1.255 ,0.077442,12
Rhoa, 1.255 ,0.077442,26
Map2k2, 1.255 ,0.077442,12
Mrps34, 1.255 ,0.077442,6
Zdhhc12, 1.255 ,0.077442,10
Wbp1l, 1.255 ,0.077442,16
Birc5, 1.255 ,0.077442,18
Shmt1, 1.255 ,0.077442,15
Cst3, 1.255 ,0.077442,14
Maea, 1.254 ,0.077442,15
Gadd45gip1, 1.254 ,0.077442,13
Ppib, 1.254 ,0.077442,16
Gpr108, 1.254 ,0.077442,8
Chchd6, 1.254 ,0.077442,7
Eif2d, 1.254 ,0.077442,13
Zmiz2, 1.254 ,0.077442,16
Clpp, 1.254 ,0.077442,22
Skiv2l2, 1.253 ,0.077442,10
Anp32e, 1.253 ,0.077442,15
Wdr46, 1.253 ,0.077442,17
Rpn2, 1.253 ,0.077442,12
Bcam, 1.253 ,0.077442,8
Abce1, 1.253 ,0.077442,13
Slc25a12, 1.253 ,0.077442,14
Anxa5, 1.253 ,0.077442,14
Zc3h10, 1.253 ,0.077442,11
Dnttip2, 1.253 ,0.077442,16
Plscr1, 1.252 ,0.077442,10
Cdk2ap2, 1.252 ,0.077442,9
Gm12669, 1.252 ,0.077442,12
Smpd1, 1.252 ,0.077442,8
Mff, 1.252 ,0.077442,11
Mogs, 1.252 ,0.077442,7
Atp1a1, 1.252 ,0.077442,15
Rsrp1, 1.252 ,0.077442,9
Atpif1, 1.252 ,0.077442,13
Srp9, 1.252 ,0.077442,14
Wbp11, 1.252 ,0.077442,16
Rnf220, 1.252 ,0.077442,11
Noc4l, 1.252 ,0.077442,13
Zswim7, 1.252 ,0.077442,8
Coro1b, 1.252 ,0.077442,11
Ier2, 1.252 ,0.077442,9
Timm10b, 1.251 ,0.077442,11
Arhgap21, 1.251 ,0.077442,12
Pxn, 1.251 ,0.077442,10
Mrpl52, 1.251 ,0.077442,9
Dynll2, 1.251 ,0.077442,14
Fmr1nb, 1.251 ,0.077442,11
Bag1, 1.251 ,0.077442,13
Tmem11, 1.251 ,0.077442,9
Cdt1, 1.251 ,0.077442,15
Me2, 1.251 ,0.077442,11
Coa3, 1.251 ,0.077442,8
Nipsnap3b, 1.251 ,0.077442,9
Bag6, 1.250 ,0.077442,12
Mcm5, 1.250 ,0.077442,16
Zfp13, 1.250 ,0.077442,15
Rad21, 1.250 ,0.077442,15
Laptm4a, 1.250 ,0.077442,14
Hat1, 1.250 ,0.077442,24
Fbl, 1.250 ,0.077442,21
Ppil3, 1.250 ,0.077442,12
Mest, 1.250 ,0.077442,13
Dtymk, 1.250 ,0.077442,16
Slbp, 1.249 ,0.07782,11
Llph, 1.249 ,0.07782,20
Perp, 1.249 ,0.07782,9
Pagr1a, 1.249 ,0.07782,11
Ercc3, 1.249 ,0.07782,12
1110004F10Rik, 1.249 ,0.078195,15
Rp9, 1.249 ,0.078195,10
Pop4, 1.249 ,0.078195,9
Arg2, 1.249 ,0.078195,11
Eif4b, 1.249 ,0.078195,24
Pitrm1, 1.249 ,0.078255,13
Jagn1, 1.249 ,0.078255,9
Utp11l, 1.249 ,0.078255,8
Snupn, 1.249 ,0.078255,10
Drg2, 1.249 ,0.078255,10
Pecam1, 1.248 ,0.078255,8
Psat1, 1.248 ,0.078255,16
Nucks1, 1.248 ,0.078255,27
Evl, 1.248 ,0.078255,8
Uhrf2, 1.248 ,0.078255,9
Ap2m1, 1.248 ,0.078686,17
Tra2a, 1.248 ,0.078686,11
Tfcp2l1, 1.248 ,0.078686,22
Tex264, 1.248 ,0.078686,9
Csnk1g2, 1.248 ,0.078686,10
Myeov2, 1.247 ,0.078686,16
Ints9, 1.247 ,0.078686,14
Myadm, 1.247 ,0.078686,16
Tns3, 1.247 ,0.078686,12
Tecr, 1.247 ,0.078686,11
Pycr2, 1.247 ,0.078686,9
Arpc5l, 1.247 ,0.078686,10
Cox5b, 1.247 ,0.078686,26
Adap1, 1.247 ,0.078686,11
Lypla2, 1.247 ,0.078686,10
Hk2, 1.247 ,0.078686,17
Mrpl40, 1.246 ,0.078686,11
Msmo1, 1.246 ,0.078686,6
Ndufa8, 1.246 ,0.078686,10
Nifk, 1.246 ,0.078686,15
St6galnac2, 1.246 ,0.078686,11
Nradd, 1.246 ,0.078686,13
Mcts2, 1.246 ,0.078792,8
Cramp1l, 1.246 ,0.078792,19
Nacc1, 1.246 ,0.078792,20
Magoh, 1.246 ,0.078792,13
Tspo, 1.246 ,0.078792,11
Prss43, 1.246 ,0.078792,26
Ing1, 1.245 ,0.078792,11
Sept11, 1.245 ,0.078792,13
Rapgef1, 1.245 ,0.079253,20
3110040N11Rik, 1.245 ,0.079253,8
Akt1, 1.245 ,0.079253,11
Hirip3, 1.245 ,0.079508,11
Samd1, 1.245 ,0.079508,11
AK010878, 1.245 ,0.079508,21
Mrpl16, 1.245 ,0.079508,9
Rgl2, 1.245 ,0.079508,8
Psma4, 1.245 ,0.079508,26
Ogfod3, 1.244 ,0.079508,9
Mtx1, 1.244 ,0.080016,12
Ahcy, 1.244 ,0.080453,17
Nelfe, 1.244 ,0.080453,11
Tmem60, 1.244 ,0.080453,10
Phax, 1.244 ,0.080453,15
Rab14, 1.244 ,0.080453,12
Fam89b, 1.244 ,0.080453,9
2410015M20Rik, 1.244 ,0.080453,13
Acadvl, 1.244 ,0.080453,10
Pmf1, 1.243 ,0.080453,10
Psmb2, 1.243 ,0.080453,15
Farsb, 1.243 ,0.080453,16
Ube2a, 1.243 ,0.080453,11
Pced1b, 1.243 ,0.080453,12
Hspb8, 1.243 ,0.080453,7
Ywhae, 1.243 ,0.080453,26
BC031181, 1.243 ,0.080453,10
Zcchc17, 1.243 ,0.080453,8
Fam162a, 1.242 ,0.080453,9
Otud6b, 1.242 ,0.080453,14
Sap30l, 1.242 ,0.080453,9
Nop56, 1.242 ,0.080453,29
Anxa7, 1.242 ,0.080515,18
Rbm12b2, 1.242 ,0.080515,9
Hiatl1, 1.242 ,0.080515,9
Dclk2, 1.241 ,0.080515,12
Akr1e1, 1.241 ,0.080515,10
Blvra, 1.241 ,0.080515,6
Pgam1, 1.241 ,0.080515,25
Irf2bpl, 1.241 ,0.080515,16
Wbp1, 1.241 ,0.080515,10
Serf2, 1.241 ,0.080515,24
2810004N23Rik, 1.241 ,0.080515,10
Msh6, 1.241 ,0.080515,13
Bap1, 1.241 ,0.080515,11
Morc1, 1.240 ,0.080515,12
Ccdc163, 1.240 ,0.080515,9
Tmem97, 1.240 ,0.080515,9
Trappc1, 1.240 ,0.080515,9
Bcat2, 1.240 ,0.080515,8
Cenpm, 1.240 ,0.080515,9
Cotl1, 1.240 ,0.080515,9
Mpv17l2, 1.240 ,0.080515,7
Nob1, 1.240 ,0.080515,13
1810037I17Rik, 1.240 ,0.080515,9
Pno1, 1.240 ,0.080515,9
Kif4, 1.240 ,0.080515,15
Rrp9, 1.240 ,0.080515,14
Ostc, 1.239 ,0.080515,10
Nit2, 1.239 ,0.080515,12
Ftsj2, 1.239 ,0.080515,12
Uchl3, 1.239 ,0.080515,9
Yeats4, 1.239 ,0.080515,12
Dppa3, 1.239 ,0.080515,15
1110001J03Rik, 1.239 ,0.080515,7
2310009B15Rik, 1.239 ,0.080515,7
Atp5c1, 1.239 ,0.080515,22
Ndufb9, 1.239 ,0.080515,16
Pet112, 1.239 ,0.080515,11
Egfl7, 1.238 ,0.080515,14
Taf9, 1.238 ,0.080515,8
2610507B11Rik, 1.238 ,0.080515,16
Arl2, 1.238 ,0.080515,11
Rabggtb, 1.238 ,0.080515,14
Mat2a, 1.238 ,0.080515,19
Avpi1, 1.238 ,0.080515,10
Dctpp1, 1.238 ,0.080515,20
Dctn3, 1.238 ,0.080999,12
Mrps18a, 1.238 ,0.081183,9
Slc35a4, 1.238 ,0.081183,11
Metap1, 1.238 ,0.081183,11
Mrps10, 1.237 ,0.081183,11
Lmnb1, 1.237 ,0.081183,20
Rnf167, 1.237 ,0.081183,10
Ywhag, 1.237 ,0.081515,23
Zfp706, 1.237 ,0.081515,24
Plod1, 1.237 ,0.081515,7
Gtf2f2, 1.237 ,0.081515,12
Farp1, 1.237 ,0.081646,10
D8Ertd738e, 1.237 ,0.081646,11
Ndufa12, 1.237 ,0.081646,13
Jarid2, 1.237 ,0.081646,20
Ntmt1, 1.237 ,0.081646,9
Naca, 1.237 ,0.081646,38
Aldoa, 1.237 ,0.081646,19
Zswim1, 1.236 ,0.081646,9
Pgs1, 1.236 ,0.081646,10
Phldb1, 1.236 ,0.081973,11
Cers5, 1.236 ,0.081973,8
Cul7, 1.236 ,0.081973,11
Tspan3, 1.236 ,0.081973,9
F2rl1, 1.236 ,0.081973,12
Lsm3, 1.236 ,0.082051,15
Elp2, 1.236 ,0.082051,10
Ift20, 1.236 ,0.082051,12
Rev1, 1.236 ,0.082051,13
Tbcb, 1.236 ,0.082051,10
Ankrd54, 1.236 ,0.082051,11
Nckap1l, 1.236 ,0.082051,11
Kcmf1, 1.236 ,0.082051,17
Mkrn1, 1.236 ,0.082374,25
Arhgdia, 1.236 ,0.082374,19
Gldnos, 1.236 ,0.082374,19
Tbrg4, 1.235 ,0.082374,18
Tjap1, 1.235 ,0.082374,7
Chmp3, 1.235 ,0.082426,10
Dtnbp1, 1.235 ,0.082426,5
Nsf, 1.235 ,0.082426,15
