Sirt7	sirtuin 7	MGI:MGI:2385849	
Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	MGI:MGI:1203524	BAF155|msp3|SRG3
Dapk3	death-associated protein kinase 3	MGI:MGI:1203520	ZIP kinase
Ubr2	ubiquitin protein ligase E3 component n-recognin 2	MGI:MGI:1861099	9930021A08Rik|E130209G04Rik|ENSMUSG00000043296
Hdac4	histone deacetylase 4	MGI:MGI:3036234	4932408F19Rik
Xbp1	X-box binding protein 1	MGI:MGI:98970	D11Ertd39e|TREB5|TREB-5|XBP-1
Msx3	msh homeobox 3	MGI:MGI:106587	
Bcor	BCL6 interacting corepressor	MGI:MGI:1918708	2900008C10Rik|5830466J11Rik|8430401K06Rik|D930024N20Rik
Ss18l1	synovial sarcoma translocation gene on chromosome 18-like 1	MGI:MGI:2444061	A230053O16Rik|CREST
Smarcd1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	MGI:MGI:1933623	Baf60a|D15Kz1
Smarcd2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	MGI:MGI:1933621	Baf60b
Kdm3b	KDM3B lysine (K)-specific demethylase 3B	MGI:MGI:1923356	5830462I21Rik|JHDM2B|Jmjd1b
Twist1	twist basic helix-loop-helix transcription factor 1	MGI:MGI:98872	bHLHa38|charlie chaplin|M-Twist|pdt|Pluridigite|Ska10|Ska<m10Jus>
Kdm3a	lysine (K)-specific demethylase 3A	MGI:MGI:98847	1700105C21Rik|C230043E16Rik|Jmjd1|Jmjd1a|Tsga
Trp53	transformation related protein 53	MGI:MGI:98834	p44|p53
Chd6	chromodomain helicase DNA binding protein 6	MGI:MGI:1918639	5430439G14Rik|6330406J24Rik
Kdm2b	lysine (K)-specific demethylase 2B	MGI:MGI:1354737	Cxxc2|Fbxl10|Jhdm1b
Kdm2a	lysine (K)-specific demethylase 2A	MGI:MGI:1354736	5530401A10Rik|Cxxc8|Fbl7|Fbxl11|Gm4560|Jhdm1a|lalina
Jmjd1c	jumonji domain containing 1C	MGI:MGI:1918614	5430433L24Rik|D630035I23Rik|TRIP8
L3mbtl1	l(3)mbt-like (Drosophila)	MGI:MGI:2676663	
Actl6b	actin-like 6B	MGI:MGI:1933548	Actl6|ArpNa|Baf53b
Tet2	tet methylcytosine dioxygenase 2	MGI:MGI:2443298	Ayu17-449|E130014J05Rik
Tada3	transcriptional adaptor 3	MGI:MGI:1915724	1110004B19Rik|ADA3|Tada3l
Ezh1	enhancer of zeste 1 polycomb repressive complex 2 subunit	MGI:MGI:1097695	
Hdac9	histone deacetylase 9	MGI:MGI:1931221	D030072B18Rik|Hdac7b|HDRP|Mitr
H3f3a	H3 histone, family 3A	MGI:MGI:1097686	H3.3A
Morf4l2	mortality factor 4 like 2	MGI:MGI:1927167	2410017O14Rik|Sid393p
Ube2a	ubiquitin-conjugating enzyme E2A	MGI:MGI:102959	HHR6A|HR6A
Ube2b	ubiquitin-conjugating enzyme E2B	MGI:MGI:102944	E2-14k|HR6B|Rad6b
Spty2d1	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	MGI:MGI:2142062	5830435K17Rik
Jarid2	jumonji, AT rich interactive domain 2	MGI:MGI:104813	Jmj|jumonji
Sox9	SRY (sex determining region Y)-box 9	MGI:MGI:98371	2010306G03Rik
Fbll1	fibrillarin-like 1	MGI:MGI:3034689	
Ski	ski sarcoma viral oncogene homolog (avian)	MGI:MGI:98310	2310012I02Rik|2610001A11Rik
Rlf	rearranged L-myc fusion sequence	MGI:MGI:1924705	9230110M18Rik|MommeD8
Hmg20b	high mobility group 20B	MGI:MGI:1341190	BRAF35|BRCA2-associated factor 35|Hmgx2|Hmgxb2|Smarce1r
Rbbp5	retinoblastoma binding protein 5	MGI:MGI:1918367	4933411J24Rik
Mcrs1	microspherule protein 1	MGI:MGI:1858420	C78274|ICP22BP|MSP58|P78
Ash2l	ash2 (absent, small, or homeotic)-like (Drosophila)	MGI:MGI:1344416	
Ucn	urocortin	MGI:MGI:1276123	Ucn1
Sirt3	sirtuin 3	MGI:MGI:1927665	2310003L23Rik|Sir2l3
Top1	topoisomerase (DNA) I	MGI:MGI:98788	D130064I21Rik|Top-1
Tnp1	transition protein 1	MGI:MGI:98784	Stp-1|Tp-1|TP1
Rcbtb1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	MGI:MGI:1918580	5430409I18Rik
Supt3	suppressor of Ty 3	MGI:MGI:1923723	2310066G22Rik|SPT3|SPT3L|Supt3h
Tgfb1	transforming growth factor, beta 1	MGI:MGI:98725	Tgfb|Tgfb-1|TGFbeta1|TGF-beta1|TGF-beta 1
Sart3	squamous cell carcinoma antigen recognized by T cells 3	MGI:MGI:1858230	
Ctcf	CCCTC-binding factor	MGI:MGI:109447	
Pih1d1	PIH1 domain containing 1	MGI:MGI:1916095	1110061L23Rik|4933413A04Rik|Nop17
Hst1	hybrid sterility 1	MGI:MGI:96258	Hst-1
Fendrr	Foxf1 adjacent non-coding developmental regulatory RNA	MGI:MGI:1916040	1110050K14Rik|linc-Foxf1a
Spin1	spindlin 1	MGI:MGI:109242	Spin
Znhit1	zinc finger, HIT domain containing 1	MGI:MGI:1917353	2700001K05Rik
Ehmt1	euchromatic histone methyltransferase 1	MGI:MGI:1924933	9230102N17Rik|KMT1D
Lef1	lymphoid enhancer binding factor 1	MGI:MGI:96770	Lef-1|lymphoid enhancer factor 1
Dpf3	D4, zinc and double PHD fingers, family 3	MGI:MGI:1917377	2810403B03Rik|cer-d4|CERD4
Hat1	histone aminotransferase 1	MGI:MGI:96013	2410071B14Rik|KAT1
Tlk2	tousled-like kinase 2 (Arabidopsis)	MGI:MGI:1346023	4933403M19Rik|PKUalpha|protein kinase U-alpha
Asf1a	anti-silencing function 1A histone chaperone	MGI:MGI:1913653	2310079C17Rik
Rsf1	remodeling and spacing factor 1	MGI:MGI:2682305	4832420A03Rik|C030033M12Rik|Hbxap|p325|XAP8
Elp4	elongator acetyltransferase complex subunit 4	MGI:MGI:1925016	A330107A17Rik|Paxneb
Tada1	transcriptional adaptor 1	MGI:MGI:1196415	2900026B15Rik|Tada1l
Snw1	SNW domain containing 1	MGI:MGI:1913604	2310008B08Rik|NCoA-62|Skiip|SKIP
Chd2	chromodomain helicase DNA binding protein 2	MGI:MGI:2448567	2810013C04Rik|2810040A01Rik|5630401D06Rik
Ptma	prothymosin alpha	MGI:MGI:97803	Thym
Sap18	Sin3-associated polypeptide 18	MGI:MGI:1277978	C530046K05Rik|D11Ertd539e|EMegR4|Sap18a|Sinbp1
Taf9	TATA-box binding protein associated factor 9	MGI:MGI:1888697	2310012M09Rik|Taf2g
Rag1	recombination activating gene 1	MGI:MGI:97848	Rag-1
Rag2	recombination activating gene 2	MGI:MGI:97849	Rag-2
Actl6a	actin-like 6A	MGI:MGI:1861453	2810432C06Rik|Actl6|ARP4|Baf53a
Cenpp	centromere protein P	MGI:MGI:1913586	1700022C02Rik|4921518G09Rik
Dpy30	dpy-30, histone methyltransferase complex regulatory subunit	MGI:MGI:1913560	2810410M20Rik
Suds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	MGI:MGI:1919204	2400003N08Rik|2410008L21Rik
Kdm6b	KDM1 lysine (K)-specific demethylase 6B	MGI:MGI:2448492	Jmjd3
Hdac1	histone deacetylase 1	MGI:MGI:108086	HD1|MommeD5|RPD3
Cecr2	cat eye syndrome chromosome region, candidate 2	MGI:MGI:1923799	2610101O16Rik|2810409N01Rik|Gtl4
Tet1	tet methylcytosine dioxygenase 1	MGI:MGI:1098693	2510010B09Rik|BB001228|Cxxc6|D10Ertd17e
Pkn1	protein kinase N1	MGI:MGI:108022	F730027O18Rik|PAK1|Pkn|PRK1|Prkcl1|Stk3
Arid1a	AT rich interactive domain 1A (SWI-like)	MGI:MGI:1935147	1110030E03Rik|BAF250a|Osa1|Smarcf1
Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	MGI:MGI:1935129	4933427E24Rik|D030040M08Rik|D330027N15Rik|MommeD4|Snf2h
Smarca1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	MGI:MGI:1935127	5730494M04Rik|Snf2l
Nelfa	negative elongation factor complex member A, Whsc2	MGI:MGI:1346098	Nelf-A|Whsc2|Whsc2h
Uhrf1	ubiquitin-like, containing PHD and RING finger domains, 1	MGI:MGI:1338889	ICBP90|Np95
Brd4	bromodomain containing 4	MGI:MGI:1888520	HUNK1|MCAP|WI-11513
Prmt7	protein arginine N-methyltransferase 7	MGI:MGI:2384879	4933402B05Rik
Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component	MGI:MGI:2384876	8430414L16Rik|C130030P16Rik|Hrpt2
Prdm9	PR domain containing 9	MGI:MGI:2384854	Dsbc1|G1-419-29|Meisetz|Rcr1|repro7
Trip12	thyroid hormone receptor interactor 12	MGI:MGI:1309481	1110036I07Rik|6720416K24Rik|Gtl6
Foxa3	forkhead box A3	MGI:MGI:1347477	Hnf3g|Hnf-3g|Tcf3g|Tcf-3g
Foxa2	forkhead box A2	MGI:MGI:1347476	Hnf3b|Hnf-3b|HNF3beta|HNF3-beta|Tcf3b|Tcf-3b
Foxa1	forkhead box A1	MGI:MGI:1347472	Hnf3a|Hnf-3a|Tcf3a|Tcf-3a
Atxn7	ataxin 7	MGI:MGI:2179277	A430107N12Rik|ataxin-7|Sca7
Brms1l	breast cancer metastasis-suppressor 1-like	MGI:MGI:1196337	0710008O11Rik|BRMS1|D12Ertd407e
Suz12	suppressor of zeste 12 homolog (Drosophila)	MGI:MGI:1261758	2610028O16Rik|D11Ertd530e
Kat7	K(lysine) acetyltransferase 7	MGI:MGI:2182799	Hbo1|Hboa|Myst2
Pml	promyelocytic leukemia	MGI:MGI:104662	1200009E24Rik|Trim19
Dek	DEK oncogene (DNA binding)	MGI:MGI:1926209	1810019E15Rik|D13H6S231E
Usp49	ubiquitin specific peptidase 49	MGI:MGI:2685391	C330046L10Rik
Ppp5c	protein phosphatase 5, catalytic subunit	MGI:MGI:102666	ANP receptor|PP5
Atf2	activating transcription factor 2	MGI:MGI:109349	ATF-2|Creb2|CRE-BP|D130078H02Rik|mXBP
Eya1	EYA transcriptional coactivator and phosphatase 1	MGI:MGI:109344	bor
Eya2	EYA transcriptional coactivator and phosphatase 2	MGI:MGI:109341	
Rbbp4	retinoblastoma binding protein 4	MGI:MGI:1194912	CAF-1 p48 subunit|RBAP48
Eya3	EYA transcriptional coactivator and phosphatase 3	MGI:MGI:109339	
Brca2	breast cancer 2, early onset	MGI:MGI:109337	Fancd1|RAB163
Eya4	EYA transcriptional coactivator and phosphatase 4	MGI:MGI:1337104	B130023L16Rik
Dppa2	developmental pluripotency associated 2	MGI:MGI:2157523	2410088E07Rik|ECAT15-2
Kdm1a	lysine (K)-specific demethylase 1A	MGI:MGI:1196256	1810043O07Rik|Aof2|Kdm1|LSD1
Mtf2	metal response element binding transcription factor 2	MGI:MGI:105050	9230112N11Rik|C76717|M96|Pcl2
Vrk1	vaccinia related kinase 1	MGI:MGI:1261847	51PK
Arid1b	AT rich interactive domain 1B (SWI-like)	MGI:MGI:1926129	9330189K18Rik|B230217J03Rik
Dnmt1	DNA methyltransferase (cytosine-5) 1	MGI:MGI:94912	Cxxc9|Dnmt1o|MommeD2|MTase
Trim28	tripartite motif-containing 28	MGI:MGI:109274	KAP-1|KRIP-1|MommeD9|Tif1b
Dr1	down-regulator of transcription 1	MGI:MGI:1100515	1700121L09Rik|Dr1l|NC2|NC2beta
Bptf	bromodomain PHD finger transcription factor	MGI:MGI:2444008	9430093H17Rik|Falz
Kdm4d	lysine (K)-specific demethylase 4D	MGI:MGI:3606484	Jmjd2d
Brpf1	bromodomain and PHD finger containing, 1	MGI:MGI:1926033	4833438B11Rik|4930540D11Rik
Brd3	bromodomain containing 3	MGI:MGI:1914632	2410084F24Rik|Fsrg2|ORFX|RINGL3
Wdr75	WD repeat domain 75	MGI:MGI:1920924	1300003A18Rik|2410118I19Rik
Asxl1	additional sex combs like 1	MGI:MGI:2684063	
Sirt2	sirtuin 2	MGI:MGI:1927664	5730427M03Rik|Sir2l|SIR2L2
Rbbp7	retinoblastoma binding protein 7	MGI:MGI:1194910	
Taf6l	TATA-box binding protein associated factor 6 like	MGI:MGI:2444957	2810417N14Rik|C530024J06Rik|PAF65A
Prdm8	PR domain containing 8	MGI:MGI:1924880	
Prkaa1	protein kinase, AMP-activated, alpha 1 catalytic subunit	MGI:MGI:2145955	AMPKalpha1|C130083N04Rik
Smarcc2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	MGI:MGI:1915344	5930405J04Rik
Kmt2e	lysine (K)-specific methyltransferase 2E	MGI:MGI:1924825	1810033J14Rik|9530077A04Rik|D230038D11Rik|Mll5
Uty	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	MGI:MGI:894810	Hydb
Rnf168	ring finger protein 168	MGI:MGI:1917488	3110001H15Rik
Wdr61	WD repeat domain 61	MGI:MGI:1917493	2700038L12Rik|2810418I05Rik
Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	MGI:MGI:107940	Enx-1|Enx1h|KMT6
Hsf4	heat shock transcription factor 4	MGI:MGI:1347058	ldis1
Bahcc1	BAH domain and coiled-coil containing 1	MGI:MGI:2679272	
Babam1	BRISC and BRCA1 A complex member 1	MGI:MGI:1915501	5430437P03Rik
Jmjd6	jumonji domain containing 6	MGI:MGI:1858910	5730436I23Rik|PSR|PtdSerR|Ptdsr
Nasp	nuclear autoantigenic sperm protein (histone-binding)	MGI:MGI:1355328	5033430J04Rik|D4Ertd767e|Epcs32|Nasp-T
Usp27x	ubiquitin specific peptidase 27, X chromosome	MGI:MGI:1859645	Sfc11
Prmt5	protein arginine N-methyltransferase 5	MGI:MGI:1351645	Jak-binding protein 1|Jbp1|Skb1
Sfmbt1	Scm-like with four mbt domains 1	MGI:MGI:1859609	4930442N21Rik|9330180L21Rik|Smr
Arid4b	AT rich interactive domain 4B (RBP1-like)	MGI:MGI:2137512	6330417L24Rik|6720480E17Rik|BRCAA1|RBBP1L1|Rbp1l1|SAP180
Jak2	Janus kinase 2	MGI:MGI:96629	C81284
Usp3	ubiquitin specific peptidase 3	MGI:MGI:2152450	
0610010K14Rik	RIKEN cDNA 0610010K14 gene	MGI:MGI:1915609	
Ep300	E1A binding protein p300	MGI:MGI:1276116	KAT3B|p300
Aicda	activation-induced cytidine deaminase	MGI:MGI:1342279	Aid
Tdrd3	tudor domain containing 3	MGI:MGI:2444023	4732418C03Rik
Trp63	transformation related protein 63	MGI:MGI:1330810	deltaNp63|KET protein|p51/p63|p63|p73L|TAp63|Trp53rp1
Mbd2	methyl-CpG binding domain protein 2	MGI:MGI:1333813	MBD2a
Phf20	PHD finger protein 20	MGI:MGI:2444148	6820402O20Rik
Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	MGI:MGI:99603	2610209L14Rik|brm|Snf2l2
Rcor1	REST corepressor 1	MGI:MGI:106340	6720480E22Rik|D12Wsu95e|Rocr1
Ruvbl1	RuvB-like protein 1	MGI:MGI:1928760	2510009G06Rik|Pontin52|Tip49a
Med24	mediator complex subunit 24	MGI:MGI:1344385	100kDa|D11Ertd307e|DRIP100|Gse2|Pparb2|R75526|Thrap4|Trap100
Eed	embryonic ectoderm development	MGI:MGI:95286	l(7)5Rn|l7Rn5
Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	MGI:MGI:1339639	1110038P24Rik|4831420N21Rik|Ogtl
Dmrtc2	doublesex and mab-3 related transcription factor like family C2	MGI:MGI:1918491	4933432E21Rik|Dmrt7
Ppm1f	protein phosphatase 1F (PP2C domain containing)	MGI:MGI:1918464	1110021B16Rik|4933427B07Rik
Dydc2	DPY30 domain containing 2	MGI:MGI:1918450	4933428D01Rik
Ruvbl2	RuvB-like protein 2	MGI:MGI:1342299	mp47|p47
Pole3	polymerase (DNA directed), epsilon 3 (p17 subunit)	MGI:MGI:1933378	1810034K18Rik|YBL1
Setmar	SET domain without mariner transposase fusion	MGI:MGI:1921979	5830404F24Rik|Etet2
Hells	helicase, lymphoid specific	MGI:MGI:106209	E130115I21Rik|LSH|Lysh|PASG|proliferation-associated SNF2-like|YFK8
Foxp3	forkhead box P3	MGI:MGI:1891436	JM2|scurfin
Chd1	chromodomain helicase DNA binding protein 1	MGI:MGI:88393	4930525N21Rik
Cdk1	cyclin-dependent kinase 1	MGI:MGI:88351	Cdc2|Cdc2a|p34<CDC2>
Ccnb1	cyclin B1	MGI:MGI:88302	Ccnb1-rs13|Cycb-4
Atg5	autophagy related 5	MGI:MGI:1277186	2010107M05Rik|3110067M24Rik|Apg5l|Paddy
Snca	synuclein, alpha	MGI:MGI:1277151	alphaSYN|alpha-synuclein
Mier1	MEIR1 treanscription regulator	MGI:MGI:1918398	4933425I22Rik|5830411K19Rik
Prmt1	protein arginine N-methyltransferase 1	MGI:MGI:107846	6720434D09Rik|Hrmt1l2
Brdt	bromodomain, testis-specific	MGI:MGI:1891374	7420412D09Rik|Brd6|Fsrg3
Ncor1	nuclear receptor co-repressor 1	MGI:MGI:1349717	5730405M06Rik|A230020K14Rik|N-CoR|Rxrip13
Lpin1	lipin 1	MGI:MGI:1891340	Lipin1
Cbx2	chromobox 2	MGI:MGI:88289	M33
Zmynd11	zinc finger, MYND domain containing 11	MGI:MGI:1913755	2210402G22Rik
Ube2u	ubiquitin-conjugating enzyme E2U (putative)	MGI:MGI:3588216	
Cebpg	CCAAT/enhancer binding protein (C/EBP), gamma	MGI:MGI:104982	C/EBPgamma|Gpe1bp|GPE1-BP|Ig/EBP
Prkcd	protein kinase C, delta	MGI:MGI:97598	D14Ertd420e|Pkcd|PKC[d]|PKCdelta
Akap8	A kinase (PRKA) anchor protein 8	MGI:MGI:1928488	1200016A02Rik|AKAP95
Mis18a	MIS18 kinetochore protein A	MGI:MGI:1913828	2610039C10Rik|2810018N07Rik
Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	MGI:MGI:88192	b2b508.1Clo|b2b692Clo|Brg1|SNF2beta|SW1/SNF
Bmi1	Bmi1 polycomb ring finger oncogene	MGI:MGI:88174	Bmi-1|Pcgf4
Rest	RE1-silencing transcription factor	MGI:MGI:104897	2610008J04Rik|NRSF
Brcc3	BRCA1/BRCA2-containing complex, subunit 3	MGI:MGI:2389572	C6.1A
Rnf40	ring finger protein 40	MGI:MGI:2142048	
Bap1	Brca1 associated protein 1	MGI:MGI:1206586	2300006C11Rik
Yeats4	YEATS domain containing 4	MGI:MGI:1927224	4930573H17Rik|B230215M10Rik|GAS41|NuBI-1
Setd7	SET domain containing (lysine methyltransferase) 7	MGI:MGI:1920501	1600028F23Rik|KMT7|Set7|Set7/9
Elk4	ELK4, member of ETS oncogene family	MGI:MGI:102853	2310011G17Rik|A130026I01Rik|Sap1
Kmt2b	lysine (K)-specific methyltransferase 2B	MGI:MGI:109565	2610014H22Rik|Mll2|Wbp7
Msl2	male-specific lethal 2 homolog (Drosophila)	MGI:MGI:1925103	E130103E02Rik|Msl2l1|Rnf184
Pink1	PTEN induced putative kinase 1	MGI:MGI:1916193	1190006F07Rik|brpk
Pygo2	pygopus 2	MGI:MGI:1916161	1190004M21Rik|mpygo2
Uhrf2	ubiquitin-like, containing PHD and RING finger domains 2	MGI:MGI:1923718	2310065A22Rik|D130071B19Rik|Nirf
Arid4a	AT rich interactive domain 4A (RBP1-like)	MGI:MGI:2444354	A630067N03Rik|Rbbp1
Cbx7	chromobox 7	MGI:MGI:1196439	1600014J01Rik|D15Ertd417e
Hltf	helicase-like transcription factor	MGI:MGI:1196437	P113|Smarca3|Snf2l3
Phf8	PHD finger protein 8	MGI:MGI:2444341	9830141C09Rik
Noc2l	NOC2 like nucleolar associated transcriptional repressor	MGI:MGI:1931051	NIR
Itgb3bp	integrin beta 3 binding protein (beta3-endonexin)	MGI:MGI:1914983	4930471O16Rik
Msl3l2	male-specific lethal 3-like 2 (Drosophila)	MGI:MGI:1920640	1700060H10Rik
Usp34	ubiquitin specific peptidase 34	MGI:MGI:109473	A530081C03Rik|Murr2
Cdk2	cyclin-dependent kinase 2	MGI:MGI:104772	A630093N05Rik
Cdkn2a	cyclin-dependent kinase inhibitor 2A	MGI:MGI:104738	Arf|ARF-INK4a|Ink4a/Arf|INK4a-ARF|MTS1|p16|p16INK4a|p19ARF|p19<ARF>|Pctr1
Wbp2	WW domain binding protein 2	MGI:MGI:104709	
Spi1	spleen focus forming virus (SFFV) proviral integration oncogene	MGI:MGI:98282	Dis-1|PU.1|Sfpi1|Sfpi-1|Spi-1|Tcfpu1|Tfpu.1
Kansl3	KAT8 regulatory NSL complex subunit 3	MGI:MGI:1918055	4632411B12Rik
Klf1	Kruppel-like factor 1 (erythroid)	MGI:MGI:1342771	Eklf|Nan
Ing1	inhibitor of growth family, member 1	MGI:MGI:1349481	2610028J21Rik|mING1h|p33Ing1
Ctbp1	C-terminal binding protein 1	MGI:MGI:1201685	BARS|CtBP1-L|CtBP1-S|CtBP3/BARS|D4S115h|D5H4S115|D5H4S115E
Crtc2	CREB regulated transcription coactivator 2	MGI:MGI:1921593	4632407F12Rik
Tet3	tet methylcytosine dioxygenase 3	MGI:MGI:2446229	B430006D22Rik|D230004J03Rik
Cxxc1	CXXC finger 1 (PHD domain)	MGI:MGI:1921572	2410002I16Rik|5830420C16Rik|Cfp1|Cgbp|PHF18
Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	MGI:MGI:109345	Sh2bp1|Tsbp|Tsp
Kansl2	KAT8 regulatory NSL complex subunit 2	MGI:MGI:1916862	2310037I24Rik
Loxl2	lysyl oxidase-like 2	MGI:MGI:2137913	1110004B06Rik|9430067E15Rik
Myocd	myocardin	MGI:MGI:2137495	Srfcp
Pim3	proviral integration site 3	MGI:MGI:1355297	Kid1|KID-1/kinase induced by depolarization
Hmgn5	high-mobility group nucleosome binding domain 5	MGI:MGI:1355295	GARP45|NBP-45|Nsbp1|nucleosome binding protein 45
Actb	actin, beta	MGI:MGI:87904	Actx|A-X actin-like protein|beta-actin|E430023M04Rik
Tcf21	transcription factor 21	MGI:MGI:1202715	bHLHa23|capsulin|epc|epicardin|Pod1|Pod-1|podocyte-expressed 1
Usp51	ubiquitin specific protease 51	MGI:MGI:3588217	
Fam175a	family with sequence similarity 175, member A	MGI:MGI:1917931	3830405G04Rik|5630400M01Rik|Ccdc98
Taf5l	TATA-box binding protein associated factor 5 like	MGI:MGI:1919039	1110005N04Rik
Ing3	inhibitor of growth family, member 3	MGI:MGI:1919027	1300013A07Rik|P47ING3
Ikzf1	IKAROS family zinc finger 1	MGI:MGI:1342540	5832432G11Rik|Ikaros|LyF-1|Zfpn1a1
Asxl2	additional sex combs like 2 (Drosophila)	MGI:MGI:1922552	4930556B16Rik
L3mbtl3	l(3)mbt-like 3 (Drosophila)	MGI:MGI:2143628	MBT-1
Gtf3c4	general transcription factor IIIC, polypeptide 4	MGI:MGI:2138937	KAT12
Actr8	ARP8 actin-related protein 8	MGI:MGI:1860775	5730542K05Rik|ARP8
Hlcs	holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	MGI:MGI:894646	410I21.SP6|D16Jhu34
Kdm8	lysine (K)-specific demethylase 8	MGI:MGI:1924285	3110005O21Rik|Jmjd5
Kdm5c	lysine (K)-specific demethylase 5C	MGI:MGI:99781	D930009K15Rik|Jarid1c|Smcx
Kdm5d	lysine (K)-specific demethylase 5D	MGI:MGI:99780	HY|Jarid1d|Smcy
Brd9	bromodomain containing 9	MGI:MGI:2145317	
Epc1	enhancer of polycomb homolog 1 (Drosophila)	MGI:MGI:1278322	2400007E14Rik|5730566F07Rik|A930032N02Rik
Epc2	enhancer of polycomb homolog 2 (Drosophila)	MGI:MGI:1278321	D2Ertd694e
Emsy	EMSY, BRCA2-interacting transcriptional repressor	MGI:MGI:1924203	2210018M11Rik
Banp	BTG3 associated nuclear protein	MGI:MGI:1889023	SMAR1
Setdb2	SET domain, bifurcated 2	MGI:MGI:2685139	KMT1F|LOC239122
Prmt3	protein arginine N-methyltransferase 3	MGI:MGI:1919224	2010005E20Rik|2410018A17Rik|Hrmt1l3
Ing4	inhibitor of growth family, member 4	MGI:MGI:107307	D6Wsu147e|D6Xrf92|p29ING4
Phf1	PHD finger protein 1	MGI:MGI:98647	D17Ertd455e|mPcl1|PHF2|Tctex3|Tctex-3
Flcn	folliculin	MGI:MGI:2442184	B430214A04Rik|BHD
Akap8l	A kinase (PRKA) anchor protein 8-like	MGI:MGI:1860606	Nakap95
Kdm1b	lysine (K)-specific demethylase 1B	MGI:MGI:2145261	4632428N09Rik|Aof1
Brd1	bromodomain containing 1	MGI:MGI:1924161	1110059H06Rik
Clock	circadian locomotor output cycles kaput	MGI:MGI:99698	5330400M04Rik|bHLHe8|KAT13D
Jade2	jade family PHD finger 2	MGI:MGI:1924151	1200017K05Rik|Phf15
Bag6	BCL2-associated athanogene 6	MGI:MGI:1919439	2410045D21Rik|Bat3|D17H6S52E|G3|Scythe
Atxn3	ataxin 3	MGI:MGI:1099442	2210008M02Rik|ataxin-3|Atx3|Mjd|MJD1|Sca3
Suv420h2	suppressor of variegation 4-20 homolog 2 (Drosophila)	MGI:MGI:2385262	KMT5C|Suv4-20h2
Hdac11	histone deacetylase 11	MGI:MGI:2385252	
Atm	ataxia telangiectasia mutated	MGI:MGI:107202	C030026E19Rik
Actr6	ARP6 actin-related protein 6	MGI:MGI:1914269	2010200J04Rik|Arp6|ArpX|CDA12
Rrp8	ribosomal RNA processing 8, methyltransferase, homolog (yeast)	MGI:MGI:1914251	1500003O22Rik|2900001K19Rik
Smarcd3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	MGI:MGI:1914243	1500001J14Rik|2210409C08Rik|BAF60C
Kat6a	K(lysine) acetyltransferase 6A	MGI:MGI:2442415	9930021N24Rik|MOZ|Myst3|Zfp220
Sap130	Sin3A associated protein	MGI:MGI:1919782	2610304F09Rik
Mecp2	methyl CpG binding protein 2	MGI:MGI:99918	1500041B07Rik|D630021H01Rik|Mbd5|WBP10
Asf1b	anti-silencing function 1B histone chaperone	MGI:MGI:1914179	1700003K02Rik
Ldb1	LIM domain binding 1	MGI:MGI:894762	CLIM2
Hist1h1d	histone cluster 1, H1d	MGI:MGI:107502	H1.3|H1D|H1f3|H1s-4
Gsg2	germ cell-specific gene 2	MGI:MGI:1194498	Haspin
Ctcfl	CCCTC-binding factor (zinc finger protein)-like	MGI:MGI:3652571	Boris|OTTMUSG00000016680
Hmg20a	high mobility group 20A	MGI:MGI:1914117	1200004E06Rik|5730490E10Rik|Hmgxb1
Ncoa6	nuclear receptor coactivator 6	MGI:MGI:1929915	AIB3|ASC2|ASC-2|NRC|PRIP|RAP250
Kdm4b	lysine (K)-specific demethylase 4B	MGI:MGI:2442355	4732474L06Rik|Jmjd2b
Tert	telomerase reverse transcriptase	MGI:MGI:1202709	TR
Ctnnb1	catenin (cadherin associated protein), beta 1	MGI:MGI:88276	beta catenin|beta-catenin|Catnb
Kdm6a	lysine (K)-specific demethylase 6A	MGI:MGI:1095419	Utx
Tada2a	transcriptional adaptor 2A	MGI:MGI:2144471	D030022J10Rik|Tada2l
Kmt2d	lysine (K)-specific methyltransferase 2D	MGI:MGI:2682319	C430014K11Rik|Mll2|Mll4
Zfp335	zinc finger protein 335	MGI:MGI:2682313	1810045J01Rik
Setd1b	SET domain containing 1B	MGI:MGI:2652820	KMT2G
